desc,desc_en,source,source_en,duration
具備視力矯正功能的擴增實境近眼顯示裝置技術,AR HMD Technology with vision correction function,中強光電股份有限公司,Coretronic,2020/6~2021/5
"A report entitled “Current development of lensless technology”, Report includes literature survey, patent survey and current applications","A report entitled “Current development of lensless technology”, Report includes literature survey, patent survey and current applications",GIS業成集團,GIS,2020/3~2020/6
於三維感測系統中之偏振光偵測,Detection of Polarization States of Light in 3D Sensing System,GIS業成集團,GIS,2019/4~2020/7
用於擴增實境光機之視力矯正電控液晶透鏡,Vision Disorders Reducing With Liquid Crystal Lenses and Optical-See-Through Augmented Reality System,中強光電股份有限公司,Coretronic,2018/12~2019/11
液晶表面自由能對水凝結與光學穩態形成之機制探討,A Mechanism Investigation Of Water Condensation And Optical Multistability Via Liquid Crystal Surface Free Energy,科技部,MOST,2018/8~2021/7
"曲面貼合之光學模擬系統開發
",Devolopment Of An Optical Simulation System In Curved Surface Sealing,GIS業成集團,GIS,2017/11~2018/10
屈光可調式安全智慧型眼鏡之光機開發,Adjustable-focus and safe smart glasses optical engine development,科技部,MOST,2016/6~2017/5
在奈米域中等向性液體與非等向性液晶分子之交互作用及開發相關應用之研究,A Study Of Interactions Between Isotropic Fluids And Anisotropic,科技部,MOST,2015/8~2018/7
電控液晶鏡片,Development and technology transfer of flexible contact lens with electrically tunable lens power for prebyopia correction,源奇科技股份有限公司,Liqxtal,2015/4~2015/10
電控大孔徑液晶鏡片,Electrically Tunable Ophthalmic Lenses Using Liquid Crystals,源奇科技股份有限公司,Liqxtal,2014/4~2015/3
大孔徑電控變焦液晶眼鏡之技術開發,Development of Large Aperture Electrically Tunable Liquid Crystal Eyeglasses,源奇科技股份有限公司,Liqxtal,2013/1~2014/2
電控表面張力之液晶聚合物薄膜之物理研究與應用開發,The Physics of Electrically Tunable Surface Tension of Liquid Crystal and Polymer Composite Film and Development of Applications,科技部,MOST,2012/8~2015/7
電控對焦液晶透鏡之技術研究,A Study of Electrically Tunable Liquid Crystal Eyeglasses,群創光電,INNOLUX,2012/6~2013/5
電控液晶眼鏡之技術研究,Technology Development of Electrically Tunable Liquid Crystal Eyeglasses,源奇科技股份有限公司,Liqxtal,2011/11~2012/12
藍相液晶於電場作用下之機制研究,A Study of Blue Phase Liquid Crystal in Electric Field Effect,奇美電子股份有限公司,CHIMEI,2011/6~2012/5
利用液晶聚合物薄膜之血液與三酸甘油脂檢測器,A human triglyceride sensor by using a liquid crystal and polymer composite film,奇美醫療財團法人奇美醫院,Chi Mei Medical Center,2011/1~2011/12
液晶聚合物薄膜之表面液滴運動研究及應用探討,The Study of A Droplet Manipulation on A Liquid Crystal and Polymer Composite Film,科技部,MOST,2009/8~2012/7
電控表面水濕性的非等向性液晶聚合物薄膜之表面特性及應用探討,Electrically Tunable Wettability Using an Anisotropic Polymeric Layer and Its Application,科技部,MOST,2007/2~2009/7